company,issuer_name,fund,registrant,series_id,cik,accession,report_date,units,balance,val_usd,price_per_share,pct_val,asset_cat,fair_val_level,restricted,cusip
Canva,Canva Australia Holdings Pty. Ltd.,Franklin Growth Fund,Franklin Custodian Funds,S000006755,38721,0002071691-26-012218,2026-03-31,NS,25413.00000000,41833355.82000000,1646.1400,0.259319144432,EC,3,Y,N/A
Canva,Canva Australia Holdings Pty. Ltd.,Franklin Growth Fund,Franklin Custodian Funds,S000006755,38721,0002071691-26-012218,2026-03-31,NS,8.00000000,13169.12000000,1646.1400,0.000081633540,EP,3,Y,N/A
Canva,Canva Australia Holdings Pty. Ltd.,Franklin Growth Fund,Franklin Custodian Funds,S000006755,38721,0002071691-26-012218,2026-03-31,NS,94.00000000,154737.16000000,1646.1400,0.000959194096,EP,3,Y,N/A
Canva,Canva Australia Holdings Pty. Ltd.,Franklin Growth Fund,Franklin Custodian Funds,S000006755,38721,0002071691-26-012218,2026-03-31,NS,5.00000000,8230.70000000,1646.1400,0.000051020962,EP,3,Y,N/A
Canva,Canva Australia Holdings Pty. Ltd.,Franklin Growth Fund,Franklin Custodian Funds,S000006755,38721,0002071691-26-012218,2026-03-31,NS,2353.00000000,3873367.42000000,1646.1400,0.024010464992,EP,3,Y,N/A
Canva,CANVA AUSTRALIA HOLDINGS PTY LTD,Fidelity International Discovery K6 Fund,Fidelity Investment Trust,S000065699,744822,0000035402-26-001984,2026-01-31,NS,15.00000000,23194.20000000,1546.2800,0.003818394858,EP,3,Y,N/A
Canva,CANVA AUSTRALIA HOLDINGS PTY LTD,Fidelity International Discovery K6 Fund,Fidelity Investment Trust,S000065699,744822,0000035402-26-001984,2026-01-31,NS,85.00000000,131433.80000000,1546.2800,0.021637570865,EP,3,Y,N/A
Canva,CANVA AUSTRALIA HOLDINGS PTY LTD,Fidelity International Discovery K6 Fund,Fidelity Investment Trust,S000065699,744822,0000035402-26-001984,2026-01-31,NS,540.00000000,834991.20000000,1546.2800,0.137462214909,EC,3,Y,N/A
Canva,CANVA CLASS B COMMON STOCK PP,"T. Rowe Price Growth Stock Fund, Inc.","T. ROWE PRICE GROWTH STOCK FUND, INC.",S000002087,80257,0001099263-26-002509,2025-12-31,NS,35624.000000,58642091.360000,1646.1400,0.1176544256,EC,3,Y,TC1HS9QX6
Canva,CANVA SERIES A CVT PFD STOCK PP,"T. Rowe Price Growth Stock Fund, Inc.","T. ROWE PRICE GROWTH STOCK FUND, INC.",S000002087,80257,0001099263-26-002509,2025-12-31,NS,1408.000000,2317765.120000,1646.1400,0.0046501637,EP,3,Y,TC0R8VGD3
