company,dt,fund,house,lines,lo_line,hi_line,balance,val_usd,net_assets,SERIES_ID,REGISTRANT_NAME,own_pps,one_price,n_houses,n_funds,spread_pct,consensus_pps,house_pps,repriced_usd,wedge_usd,wedge_bps,own_vs_consensus_pct,position_pct_of_nav
NM:EPIC GAMES,2021-03-31,S000015975,Lincoln,1,885.0,885.0,6864.0,6074640.0,1804620465.51,S000015975,LINCOLN VARIABLE INSURANCE PRODUCTS TRUST,885.0,True,10,25,53.91304347826087,885.0,885.0,6074640.0,0.0,0.0,0.0,0.3366159320532397
NM:EPIC GAMES,2021-03-31,S000039220,Fidelity,1,885.0,885.0,7100.0,6283500.0,8095253659.44,S000039220,Fidelity Contrafund,885.0,True,10,25,53.91304347826087,885.0,885.0,6283500.0,0.0,0.0,0.0,0.07761955664814424
NM:EPIC GAMES,2021-03-31,S000056352,Fidelity,1,885.0,885.0,34.0,30090.0,20465637.36,S000056352,Fidelity Contrafund,885.0,True,10,25,53.91304347826087,885.0,885.0,30090.0,0.0,0.0,0.0,0.14702693823164667
NM:EPIC GAMES,2021-03-31,S000057289,Fidelity,1,885.0,885.0,14010.0,12398850.0,20714512595.59,S000057289,Fidelity Contrafund,885.0,True,10,25,53.91304347826087,885.0,885.0,12398850.0,0.0,0.0,0.0,0.05985586164667781
NM:EPIC GAMES,2021-03-31,S000061108,MassMutual,1,885.0,885.0,3660.0,3239100.0,2202108582.81,S000061108,MASSMUTUAL SELECT FUNDS,885.0,True,10,25,53.91304347826087,885.0,885.0,3239100.0,0.0,0.0,0.0,0.14709083944746937
NM:EPIC GAMES,2021-04-30,S000001497,T. Rowe Price,1,885.0,885.0,35359.0,31292715.0,7573753606.35,S000001497,"T. ROWE PRICE INTERNATIONAL FUNDS, INC.",885.0,True,3,10,0.0,885.0,885.0,31292715.0,0.0,0.0,0.0,0.4131731321938372
NM:EPIC GAMES,2021-04-30,S000002245,BlackRock,2,885.0,885.0,81686.0,72292110.0,27070656302.8,S000002245,"BlackRock Global Allocation Fund, Inc.",885.0,True,3,10,0.0,885.0,885.0,72292110.0,0.0,0.0,0.0,0.2670497131335623
NM:EPIC GAMES,2021-04-30,S000005450,Fidelity,1,885.0,885.0,4584.0,4056840.0,6619623189.84,S000005450,Fidelity Capital Trust,885.0,True,3,10,0.0,885.0,885.0,4056840.0,0.0,0.0,0.0,0.061285059340334694
NM:EPIC GAMES,2021-04-30,S000007191,Fidelity,1,885.0,885.0,77600.0,68676000.0,28342165969.25,S000007191,Fidelity Securities Fund,885.0,True,3,10,0.0,885.0,885.0,68676000.0,0.0,0.0,0.0,0.24231034450405248
NM:EPIC GAMES,2021-04-30,S000007195,Fidelity,1,885.0,885.0,6131.0,5425935.0,53946827760.51,S000007195,Fidelity Securities Fund,885.0,True,3,10,0.0,885.0,885.0,5425935.0,0.0,0.0,0.0,0.010057931532300175
NM:EPIC GAMES,2021-04-30,S000023645,T. Rowe Price,1,885.0,885.0,7370.0,6522450.0,1614113945.48,S000023645,"T. ROWE PRICE INTERNATIONAL FUNDS, INC.",885.0,True,3,10,0.0,885.0,885.0,6522450.0,0.0,0.0,0.0,0.4040885724495971
NM:EPIC GAMES,2021-04-30,S000042624,Fidelity,1,885.0,885.0,1076.0,952260.0,6391188243.71,S000042624,Fidelity Securities Fund,885.0,True,3,10,0.0,885.0,885.0,952260.0,0.0,0.0,0.0,0.01489957678741795
NM:EPIC GAMES,2021-04-30,S000056372,Fidelity,1,885.0,885.0,9.0,7965.0,126850611.12,S000056372,Fidelity Securities Fund,885.0,True,3,10,0.0,885.0,885.0,7965.0,0.0,0.0,0.0,0.006279039517172805
NM:EPIC GAMES,2021-04-30,S000057284,Fidelity,1,885.0,885.0,607.0,537195.0,5953536567.42,S000057284,Fidelity Securities Fund,885.0,True,3,10,0.0,885.0,885.0,537195.0,0.0,0.0,0.0,0.009023124220647839
NM:EPIC GAMES,2021-04-30,S000065698,Fidelity,1,885.0,885.0,5200.0,4602000.0,2410810730.69,S000065698,Fidelity Securities Fund,885.0,True,3,10,0.0,885.0,885.0,4602000.0,0.0,0.0,0.0,0.19089014087318493
NM:EPIC GAMES,2021-05-31,S000005111,Fidelity,1,885.0,885.0,56200.0,49737000.0,22745134587.71,S000005111,Fidelity Advisor Series I,885.0,True,4,15,0.0,885.0,885.0,49737000.0,0.0,0.0,0.0,0.2186709417269162
NM:EPIC GAMES,2021-05-31,S000005118,Fidelity,1,885.0,885.0,1715.0,1517775.0,6526163547.17,S000005118,Fidelity Advisor Series I,885.0,True,4,15,0.0,885.0,885.0,1517775.0,0.0,0.0,0.0,0.023256772359898436
NM:EPIC GAMES,2021-05-31,S000005121,Fidelity,1,885.0,885.0,3289.0,2910765.0,4715616981.03,S000005121,Fidelity Advisor Series I,885.0,True,4,15,0.0,885.0,885.0,2910765.0,0.0,0.0,0.0,0.06172606918054277
NM:EPIC GAMES,2021-05-31,S000007119,Fidelity,1,885.0,885.0,51800.0,45843000.0,62283822781.08,S000007119,Fidelity Mt Vernon Street Trust,885.0,True,4,15,0.0,885.0,885.0,45843000.0,0.0,0.0,0.0,0.07360338199074987
NM:EPIC GAMES,2021-05-31,S000007151,Fidelity,1,885.0,885.0,12272.0,10860720.0,45612149185.18,S000007151,Fidelity Puritan Trust,885.0,True,4,15,0.0,885.0,885.0,10860720.0,0.0,0.0,0.0,0.02381102446172125
NM:EPIC GAMES,2021-05-31,S000007484,Fidelity,1,885.0,885.0,17917.0,15856545.0,11569943075.29,S000007484,Fidelity Select Portfolios,885.0,True,4,15,0.0,885.0,885.0,15856545.0,0.0,0.0,0.0,0.13704946426110706
NM:EPIC GAMES,2021-05-31,S000008004,VALIC,1,885.0,885.0,3904.0,3455040.0,3106809431.72,S000008004,VALIC Co I,885.0,True,4,15,0.0,885.0,885.0,3455040.0,0.0,0.0,0.0,0.11120862337820353
NM:EPIC GAMES,2021-05-31,S000009228,Capital Group,1,885.0,885.0,84249.0,74560365.0,271392170066.01,S000009228,Growth Fund of America,885.0,True,4,15,0.0,885.0,885.0,74560365.0,0.0,0.0,0.0,0.027473292608944787
NM:EPIC GAMES,2021-05-31,S000009598,Capital Group,1,885.0,885.0,84438.0,74727630.0,33252698375.05,S000009598,New Economy Fund,885.0,True,4,15,0.0,885.0,885.0,74727630.0,0.0,0.0,0.0,0.2247265143933981
NM:EPIC GAMES,2021-05-31,S000042623,Fidelity,1,885.0,885.0,2200.0,1947000.0,767544233.99,S000042623,Fidelity Advisor Series I,885.0,True,4,15,0.0,885.0,885.0,1947000.0,0.0,0.0,0.0,0.25366616199808056
