sectors,n_sectors,n_favored,p_one_sided,median_gap_diff_pts,rank,contains_paper_core
AI+Defense+FinTech+Robotics,4,9,0.06779677260591753,15.03508771929824,150,False
AI+Data/AI+FinTech+Semiconductors,4,9,0.06779677260591753,15.03508771929824,151,False
AI+Crypto+Data/AI+Defense+Energy+Logistics+Robotics+Semiconductors,8,12,0.06988679878257575,24.41428571428571,152,True
Data/AI+Defense+FinTech+Quantum+Robotics+Semiconductors,6,10,0.071494855310068,11.736842105263156,153,False
Defense+FinTech+Robotics+Semiconductors,4,7,0.071494855310068,13.38230994152047,154,False
Data/AI+Defense+FinTech,3,7,0.071494855310068,13.268421052631584,155,False
AI+Data/AI+Defense+Energy+Logistics+Robotics,6,10,0.071494855310068,24.41428571428571,156,True
AI+Defense+FinTech+Logistics+Quantum+Semiconductors,6,11,0.07239290340449515,14.680555555555552,157,False
AI+Crypto+Data/AI+Defense+FinTech,5,11,0.07239290340449515,15.03508771929824,158,True
AI+Crypto+Defense+FinTech+Robotics+Semiconductors,6,11,0.07239290340449515,15.03508771929824,159,False
Data/AI+Defense+SaaS+Semiconductors,4,6,0.07239290340449515,20.80787401574804,160,False
AI+Crypto+Data/AI+Defense+FinTech+Robotics+SaaS+Semiconductors,8,14,0.07356378683298778,20.333333333333325,161,True
AI+Data/AI+Defense+FinTech+Logistics+Quantum+SaaS+Semiconductors,8,14,0.07356378683298778,20.333333333333325,162,True
AI+Crypto+Data/AI+Defense+Energy+FinTech+Quantum+Semiconductors,8,14,0.07356378683298778,9.736842105263154,163,True
AI+Data/AI+Defense+Logistics+Quantum,5,9,0.07433279881003173,14.566666666666666,164,True
AI+Defense+Logistics+Quantum+Robotics+Semiconductors,6,9,0.07433279881003173,14.680555555555552,165,False
AI+Defense+Energy+Quantum+Semiconductors,5,8,0.07433279881003173,11.035651793525814,166,False
AI+Defense+Robotics+SaaS+Semiconductors,5,8,0.07433279881003173,11.744716121011189,167,False
