company,security,acquired,acquired_last,lots_spanned,cost,value,markup_pct,shares,in_thousands,doc,cost_per_share,mark_per_share,filer,cik,adsh,form,file_date,period
Databricks,Databricks  Inc Series G 0.00%(d),02/01/2021,02/01/2021,1,340724.0,423580.0,24.317629518319816,,False,https://www.sec.gov/Archives/edgar/data/356476/000119312524052721/d111662dncsr.htm,,,"EMPOWER FUNDS, INC.  (CIK 0000356476)",0000356476,0001193125-24-052721,N-CSR,2024-02-29,2023-12-31
Databricks,Databricks  Inc Series G(b),02/01/2021,02/01/2021,1,647570.0,605628.0,-6.476828759825192,,False,https://www.sec.gov/Archives/edgar/data/356476/000119312522229776/d382150dncsrs.htm,,,"EMPOWER FUNDS, INC.  (CIK 0000356476)",0000356476,0001193125-22-229776,N-CSRS,2022-08-25,2022-06-30
Databricks,Databricks - Common Stocks,7/24/2025,7/24/2025,1,14572.0,19850.0,36.22014822948118,,False,https://www.sec.gov/Archives/edgar/data/1217286/000119312526085171/d86821dncsrs.htm,,,JPMorgan Trust I  (CIK 0001217286),0001217286,0001193125-26-085171,N-CSRS,2026-03-02,2025-12-31
Databricks,Databricks - Common Stocks,7/24/2025,7/24/2025,1,14572.0,19850.0,36.22014822948118,,False,https://www.sec.gov/Archives/edgar/data/763852/000119312526085172/d29290dncsrs.htm,,,JPMORGAN TRUST II  (CIK 0000763852),0000763852,0001193125-26-085172,N-CSRS,2026-03-02,2025-12-31
Databricks,Databricks - Common Stocks,7/24/2025,7/24/2025,1,14572.0,19850.0,36.22014822948118,,False,https://www.sec.gov/Archives/edgar/data/803747/000119312526085179/d884187dncsrs.htm,,,JP MORGAN MUTUAL FUND INVESTMENT TRUST  (CIK 0000803747),0000803747,0001193125-26-085179,N-CSRS,2026-03-02,2025-12-31
Databricks,Databricks - Common Stocks,7/24/2025,7/24/2025,1,14572.0,19850.0,36.22014822948118,,False,https://www.sec.gov/Archives/edgar/data/1037897/000119312526085182/d910837dncsrs.htm,,,JP MORGAN FLEMING MUTUAL FUND GROUP INC  (CIK 0001037897),0001037897,0001193125-26-085182,N-CSRS,2026-03-02,2025-12-31
Databricks,Databricks - Common Stocks,7/24/2025,7/24/2025,1,26428.0,35690.0,35.04616316028455,,False,https://www.sec.gov/Archives/edgar/data/1217286/000119312526085171/d86821dncsrs.htm,,,JPMorgan Trust I  (CIK 0001217286),0001217286,0001193125-26-085171,N-CSRS,2026-03-02,2025-12-31
Databricks,Databricks - Common Stocks,7/24/2025,7/24/2025,1,26428.0,35690.0,35.04616316028455,,False,https://www.sec.gov/Archives/edgar/data/763852/000119312526085172/d29290dncsrs.htm,,,JPMORGAN TRUST II  (CIK 0000763852),0000763852,0001193125-26-085172,N-CSRS,2026-03-02,2025-12-31
Databricks,Databricks - Common Stocks,7/24/2025,7/24/2025,1,26428.0,35690.0,35.04616316028455,,False,https://www.sec.gov/Archives/edgar/data/803747/000119312526085179/d884187dncsrs.htm,,,JP MORGAN MUTUAL FUND INVESTMENT TRUST  (CIK 0000803747),0000803747,0001193125-26-085179,N-CSRS,2026-03-02,2025-12-31
Databricks,Databricks - Common Stocks,7/24/2025,7/24/2025,1,26428.0,35690.0,35.04616316028455,,False,https://www.sec.gov/Archives/edgar/data/1037897/000119312526085182/d910837dncsrs.htm,,,JP MORGAN FLEMING MUTUAL FUND GROUP INC  (CIK 0001037897),0001037897,0001193125-26-085182,N-CSRS,2026-03-02,2025-12-31
Databricks,"Databricks Group, Ltd.—Series G",02/01/21,02/01/21,1,598439.0,598439.0,0.0,3374.0,False,https://www.sec.gov/Archives/edgar/data/1126087/000119312521263178/d144433dncsrs.htm,177.36781268524007,177.36781268524007,Brighthouse Funds Trust I  (CIK 0001126087),0001126087,0001193125-21-263178,N-CSRS,2021-09-01,2021-06-30
